ID,County,Locality,Lat,Lon,Elev,Trap,StartDay,StartMonth,StartYear,EndDay,EndMonth,EndYear,Sex,Observer/Collector,Family,Genus,Species
PHPP17-1591,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1592,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1593,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1594,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1595,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1596,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1598,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,male,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-16,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,female,M. P. Gavin,Halictidae,Agapostemon,texanus
PHPP17-160,City of Calgary,Canyon Meadows,50.9296,-114.0507,1043,pan trap,15,vii,2017,16,vii,2017,male,M. P. Gavin,Colletidae,Hylaeus,
PHPP17-1600,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1601,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1602,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,insularis
PHPP17-1603,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1604,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Bombus,rufocinctus
PHPP17-1605,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,male,S. Johnson,Apidae,Anthophora,bomboides
PHPP17-1606,City of Calgary,North Glenmore,50.9896,-114.1113,1082,vane trap,25,v,2018,4,vi,2018,female,S. Johnson,Apidae,Anthophora,bomboides
