Specimen_ID,County,Locality,Lat,Lon,Elev,StartDay,StartMonth,StartYear,EndDay,EndMonth,EndYear,Method,Collector,FlowerSpp,Family,Genus,Species,Sex,Caste
CPP-115,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Halictidae,Lasioglossum,sp. 1,female,
CPP-116,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Halictidae,Lasioglossum,Dialictus sp. 8,female,
CPP-117,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Halictidae,Lasioglossum,Dialictus sp. 8,female,
CPP-118,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Halictidae,Lasioglossum,Dialictus sp. 8,female,
CPP-119,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,Halictidae,Lasioglossum,Dialictus sp. 8,female,
CPP-120,City of Calgary,Bowmont Park,51.086132,-114.16837,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Salix exigua,,,,,
CPP-121,City of Calgary,Bowmont Park,51.086466,-114.169242,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Amelanchier alnifolia,,,,,
CPP-122,City of Calgary,Bowmont Park,51.086466,-114.169242,1061,2,vi,2020,2,vi,2020,sweep net,M.Summers,Amelanchier alnifolia,,,,,
CPP-123,City of Calgary,Prince's Island Park,51.054442,-114.077115,1029,3,vi,2020,3,vi,2020,sweep net,M.Summers,Prunus virginiana,,,,,
CPP-124,City of Calgary,Prince's Island Park,51.054442,-114.077115,1029,3,vi,2020,3,vi,2020,sweep net,M.Summers,Prunus virginiana,,,,,
CPP-125,City of Calgary,Prince's Island Park,51.054442,-114.077115,1029,3,vi,2020,3,vi,2020,sweep net,M.Summers,Prunus virginiana,,,,,
CPP-126,City of Calgary,Prince's Island Park,51.052999,-114.072083,1029,3,vi,2020,3,vi,2020,sweep net,M.Summers,Ribes aureum,Andrenidae,Andrena,vicina,female,
CPP-127,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,Andrenidae,Andrena,Trachandrena sp. 3,female,
CPP-128,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,,,,,
CPP-129,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,Andrenidae,Andrena,Trachandrena sp. 3,female,
CPP-130,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,,,,,
CPP-131,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,Andrenidae,Andrena,Trachandrena sp. 3,female,
CPP-132,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,Halictidae,Lasioglossum,paraforbesii,female,
CPP-133,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,Andrenidae,Andrena,Trachandrena sp. 3,male,
CPP-134,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,Andrenidae,Andrena,sp. 5,male,
CPP-135,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,Andrenidae,Andrena,sp. 5,male,
CPP-136,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,Halictidae,Lasioglossum,Dialictus sp. 7,female,
CPP-137,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,Andrenidae,Andrena,sp. 4,male,
CPP-138,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,Halictidae,Lasioglossum,sp. 1,female,
CPP-139,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,,,,,
CPP-140,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,Halictidae,Lasioglossum,sp. 1,female,
CPP-141,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,Halictidae,Lasioglossum,sp. 1,female,
CPP-142,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,Halictidae,Lasioglossum,Dialictus sp. 12,female,
CPP-143,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,Halictidae,Lasioglossum,sp. 1,female,
CPP-144,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,Halictidae,Lasioglossum,Dialictus sp. 9,female,
CPP-145,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,Halictidae,Lasioglossum,Dialictus sp. 9,female,
CPP-146,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,Halictidae,Lasioglossum,Dialictus sp. 8,female,
CPP-147,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,,,,,
CPP-148,City of Calgary,Prince's Island Park,51.055303,-114.066761,1029,5,vi,2020,5,vi,2020,sweep net,M.Summers,Prunus virginiana,,,,,
CPP-149,City of Calgary,Prince's Island Park,51.05281,-114.075505,1029,26,vi,2020,26,vi,2020,sweep net,M.Summers,Linum lewisii,Apidae,Bombus,rufocinctus,female,worker
CPP-150,City of Calgary,Prince's Island Park,51.05281,-114.075505,1029,26,vi,2020,26,vi,2020,sweep net,M.Summers,Linum lewisii,Megachilidae,Megachile,frigida,male,
CPP-151,City of Calgary,Prince's Island Park,51.05281,-114.075505,1029,26,vi,2020,26,vi,2020,sweep net,M.Summers,Linum lewisii,Apidae,Bombus,rufocinctus,female,worker
CPP-152,City of Calgary,Prince's Island Park,51.05281,-114.075505,1029,26,vi,2020,26,vi,2020,sweep net,M.Summers,Linum lewisii,Apidae,Bombus,rufocinctus,female,worker
CPP-153,City of Calgary,Prince's Island Park,51.05281,-114.075505,1029,26,vi,2020,26,vi,2020,sweep net,M.Summers,Linum lewisii,Apidae,Apis,mellifera,female,worker
CPP-154,City of Calgary,Prince's Island Park,51.05281,-114.075505,1029,26,vi,2020,26,vi,2020,sweep net,M.Summers,Linum lewisii,Apidae,Apis,mellifera,female,worker
